artist_name,track_name,release_date,genre,lyrics
Jimin,Who,2024,hyperpop,"We never met, but she's all I see at night Never met, but she's always on my mind Wanna give her the world and so much more Who is my heart waiting for?  If every day I think about her Yeah, every day of my life Then tell me why I haven't found her (Why, why, why, why, why?)  There's so many people to see (There's so many people to see) And places to go (There's so many places to go) I still haven't found your love  We nevr met, but she's all I see at night Nevr met, but she's always on my mind Wanna give her the world and so much more Who is my heart waiting for?  I'll take her places they ain't found yet I'll put it all on the line I'll be that someone she can count on One, two, three, four, five  There's so many people to see (There's so many people to see) And places to go (There's so many places to go) I still haven't found your love  We never met, but she's all I see at night Never met, but she's always on my mind Wanna give her the world and so much more Who is my heart waiting for? Is she someone that I see every day? Is she somewhere a thousand miles away? Wanna give her the world and so much more Who is my heart waiting for?  (Who is my heart) Heart waiting for? (Who is my heart) Heart waiting for? (Who is my heart) Heart waiting for? (Who is my) Who is my heart waiting for?  We never met, but she's all I see at night Never met, but she's always on my mind Wanna give her the world and so much more Who is my heart waiting for? Is she someone that I see every day? Is she somewhere a thousand miles away? Wanna give her the world and so much more Who is my heart waiting for?"
Jung Kook,Standing Next to You,2023,hyperpop,"Standing next to you  Play me slow Push up on this funk and give me miracles (Let ya body know) Make it known How we left and right is something we control (You already know)  You know that, all night long, we rock to this Screaming, I testify this lovin' All night long, we flock to this Screaming, I testify that We'll survive the test of time They can't deny our love They can't divide us We'll survive the test of time I promise I'll be right here  Standing next to you Standing in the fire next to you, oh You know it's deeper than the rain It's deeper than the pain When it's deep like DNA Something they can't take away, ayy Take-take-take-take-take-take off  Standing next to you Standing next to you (You) Standing next to you  Afterglow Leave ya body golden like the sun and the moon (You already know)  You know that, all night long, we rock to this (Oh) Screaming, I testify this lovin' All night long, we flock to this (All night long) Screaming, I testify that We'll survive the test of time They can't deny our love They can't divide us We'll survive the test of time I swear that I'll be right here  Standing next to you (Next to you) Standing in the fire next to you, oh (Next to you) You know it's deeper than the rain It's deeper than the pain When it's deep like DNA Something they can't take away, ayy Take-take-take-take-take-take off  Standing next to you (Standing next to you) Standing next to you (Standing next to you, standing next to you) Standing next to you, oh (Standing next to you, standing next to you) Hey (Standing next to you, standing next to you) Standing next to you (Standing next to you)  Bass and drums Ooh Woo Standing next to you"
Jung Kook,Seven (feat. Latto) (Explicit Ver.),2023,hyperpop,"Weight of the world on your shoulders I kiss your waist and ease your mind I must be favored to know ya I take my hands and trace your lines  It's the way that you can ride It's the way that you can ride (Oh-oh-oh-oh) Think I met you in another life So break me off another time (Oh-oh-oh-oh) You wrap around me and you give me life And that's why night after night I'll be fuckin' you right  Monday, Tuesday, Wednesday, Thursday, Friday, Saturday, Sunday (A week) Monday, Tuesday, Wednesday, Thursday, Friday Seven days a week Every hour, every minute, every second You know night aftr night I'll be fuckin' you right Seven days a week  You lov when I jump right in All of me, I'm offering Show you what devotion is Deeper than the ocean is Wind it back, I'll take it slow Leave you with that afterglow Show you what devotion is Deeper than the ocean is  It's the way that you can ride It's the way that you can ride (Oh-oh-oh-oh) Think I met you in another life So break me off another time (Oh-oh-oh-oh) You wrap around me and you give me life And that's why night after night I'll be fuckin' you right  Monday, Tuesday, Wednesday, Thursday, Friday, Saturday, Sunday (A week) Monday, Tuesday, Wednesday, Thursday, Friday Seven days a week Every hour, every minute, every second You know night after night I'll be fuckin' you right, seven days a week Monday, Tuesday, Wednesday, Thursday, Friday, Saturday, Sunday (A week) Monday, Tuesday, Wednesday, Thursday, Friday Seven days a week Every hour, every minute, every second You know night after night I'll be fuckin' you right Seven days a week (Big Latto)  Tightly take control, tightly take his soul Take your phone and put it in the camera roll (Uh) Leave them clothes at the door What you waitin' for? Better come and hit ya goals Uh, he jump in it, both feet Goin' to the sun-up, we ain't gettin' no sleep Seven days a week, seven different sheets Seven different angles, I can be your fantasy Open up, say, ""Ah"" Come here, baby, let me swallow your pride What you on? I can match your vibe (Vibe) Hit me up and I'ma Cha-cha Slide (Skrt) You make Mondays feel like weekends I make him never think about cheatin' Got you skippin' work and meetings Fuck it, let's sleep in, yes (Seven days a week, ooh)  Monday, Tuesday, Wednesday, Thursday, Friday, Saturday, Sunday (A week) Monday, Tuesday, Wednesday, Thursday, Friday Seven days a week Every hour, every minute, every second (Oh-oh-oh) You know night after night I'll be fuckin' you right Seven days a week (Oh) Monday, Tuesday, Wednesday, Thursday, Friday, Saturday, Sunday (A week) Monday, Tuesday, Wednesday, Thursday, Friday (Ooh, ooh, ooh, ooh, ooh) Seven days a week Every hour, every minute, every second (Hour, minute, second) You know night after night I'll be fuckin' you right Seven days a week"
ILLIT,Magnetic,2024,hyperpop,"A dance-hybrid, Pluggnb, and House track, Magnetic expresses Read More   Baby, I'm just trying to play it cool But I just can't hide that I want you  Wait a minute,  ? (?)   lub-dub,     oh (Oh), my (My) gosh (Gosh)  you're my crush,        my heart      , boy We're magnetized,  This time, I want  You, you, you, you, like it's magnetic You, you, you, you, you, you, you, you, super  You, you, you, you, like it's magnetic You, you, you, you, you, you, you, you, super   Bae, bae, bae, bae, bae, bae, bae, bae, bae Dash-da-da, dash-da-da, dash-da Like it's magnetic Bae, bae, bae, bae, bae, bae, bae, bae, bae Dash-da-da, dash-da-da Baby, don't say no    our type  J   P S N      green light   So let's go, let's go Let's go, let's go       my heart      , boy We're magnetized,  This time, I want  You, you, you, you, like it's magnetic You, you, you, you, you, you, you, you, super  You, you, you, you, like it's magnetic You, you, you, you, you, you, you, you, super   No push and pull,    (In a rush, in a rush) Our chemistry,     (Baby, you're my crush, you're my crush) No push and pull,      (Gonna dash, gonna dash) Never holding back, , yeah (, yeah) *This time, I want*  You, you, you, you, like it's magnetic You, you, you, you, you, you, you, you, super  You, you, you, you, like it's magnetic You, you, you, you, you, you, you, you, super   Bae, bae, bae, bae, bae, bae, bae, bae, bae Dash-da-da, dash-da-da, dash-da Like it's magnetic Bae, bae, bae, bae, bae, bae, bae, bae, bae Dash-da-da, dash-da-da Baby, don't say no"
Jack Harlow,Lovin On Me,2023,hyperpop,"I don't like no whips and chains and you can't tie me down But you can whip your lovin' on me, baby Whip your lovin' on me, baby  I'm vanilla, baby (I don't like no whips and chains) I'll choke you, but I ain't no killer, baby (And you can't tie me down) She twenty-eight, tellin' me I'm still a baby (But you can whip your lovin' on me, baby) I get love in Detroit like Skilla Baby (Whip your lovin' on me, baby) And the thing about your boy is I don't like no whips and chains and you can't tie me down But you can whip your lovin' on me, baby (That's right, that's right) Whip your lovin' on me, baby  Young J-A-C-K, AKA Rico like Suave, Young Enrique Speakin' of AKA, she's a alpha But not around your boy, she get quiet 'round your boy, hold on (Shh) Don't know what you heard or what you thought about your boy But they lied about your boy, goin' dumb and it's somethin' idiotic 'bout your boy She wearin' cheetah print That's how bad she wanna b spotted 'round your boy  I don't like no whips and chains and you can't tie m down But you can whip your lovin' on me, baby Whip your lovin' on me  I'm vanilla, baby (I don't like no whips and chains) I'll choke you, but I ain't no killer, baby (And you can't tie me down) She twenty-eight, tellin' me I'm still a baby (But you can whip your lovin' on me, baby) I get love in Detroit like Skilla Baby (Whip your lovin' on me, baby) And the thing about your boy is I don't like no whips and chains and you can't tie me down But you can whip your lovin' on me, baby Whip your lovin' on me, baby  Young M-I-S-S-I-O-N-A-R-Y You sharp like barbed wire She stole my heart, then she got archived I keep it short with a bitch, Lord Farquaad All the girls in the front row (Ayy) All the girls at the barricade (Ayy) All the girls that been waitin' all day Let your tongue hang out, fuck everything (Ayy) If you came with a man (Came with a man) Let go of his hand (Let go of that shit) Everybody in the suite kickin' up they feet Stand up, bitch, dance  I don't like no whips and chains and you can't tie me down (I see you, and all the guys in the back waitin' on the next track) But you can whip your lovin' on me, baby (Cut your boy a lil' slack) Whip your lovin' on me (It's young Jack)  I'm vanilla, baby (I don't like no whips and chains) I'll choke you, but I ain't no killer, baby (And you can't tie me down) She twenty-eight, tellin' me I'm still a baby (But you can whip your lovin' on me, baby) I get love in Detroit like Skilla Baby (Whip your lovin' on me, baby) And the thing about your boy is I don't like no whips and chains and you can't tie me down But you can whip your lovin' on me, baby (That's right, that's right) Whip your lovin' on me, baby  I don't like no whips and chains and you can't tie me down But you can whip your lovin' on me, baby Whip your lovin' on me, baby"
wave to earth,seasons,2020,hyperpop,"I can't be your love Look, its too trivial for you now Oh, my life is fallin' apart Maybe no one will notice if I disappear  But I'll pray for you all the time If I could be by your side Ill give you all my life, my seasons   I can't be your love 'Cause I'm afraid I'll ruin your life While the leaves withered away And grew again You have gone far away I'll be pushing up daisies And bring all the chances to here  But I'll pray for you all the time If I could be by your side I'll give you all my life, my seasons By your side, Ill be your sasons  My love"
Stray Kids,Chk Chk Boom,2024,hyperpop," Boom, boom, chk, chk, boom  (Brrah)                plan keep going Sick of this life, it's regular     (Ayy, ayy)           kneel, I'm strong  Yeah, yeah, yeah, yeah,     I do it (Do it) Just pull out my trigger, I got that (Woo) I'ma pop, pop, pop, take a shot, yeah Shoot down my goals one by one, I snipe them Filling up my truck Yeah, you want that ride (Boom) Hit you like a truck I'ma make you fly  (Boom) Vamos, I know that you want it (Boom) Lobos, we cannot stop hunting (Boom) Ra-ta-ta-ta, I'ma make it Boom, boom, chk, chk, boom (Boom) Vamos, I know that you want it (Boom) Chaos, we so catastrophic (Boom) Ra-ta-ta-ta, I'ma make it Boom, boom, chk, chk, boom  (Boom) Clich    clich (Boom)      (Boom)   , I'm not a changed man     level        I'm the owner of my goal,     I make it right,   clear      trigger, fire (Fire)       (My amigo) Filling up my truck Yeah, you want that ride (Boom) Hit you like a truck I'ma make you fly  (Boom) Vamos, I know that you want it (Boom) Lobos, we cannot stop hunting (Boom) Ra-ta-ta-ta, I'ma make it Boom, boom, chk, chk, boom (Boom) Vamos, I know that you want it (Boom) Chaos, we so catastrophic (Boom) Ra-ta-ta-ta, I'ma make it Boom, boom, chk, chk, boom     My bullet goes   la vida loca  good shot, shot, shot    My bullet goes   la vida loca Boom, boom, chk, chk, boom"
KATSEYE,Touch,2024,hyperpop,"The music video features Read More  Touch, touch, touch, touch, touch Thought about you way too much, much, much, much, much Over, overthinking us, us, us, us, us (Ooh-ooh) 'Cause you been so out of touch You could've had my love, but you been so out of touch  Monday, I was dreaming 'bout ya Tuesday, I was waiting near the phone Two days, wasn't hearing from ya Yeah, what can I say? Oh, baby, I was getting bored Thursday, I was losing interest Friday, you were out there in the cold Weekend, you already missed it I was moving on 'cause you were moving too slow  'Cause sometimes I'm alone Stare out my window And the moon makes you seem close tonight  But you been so out of touch, touch, touch, touch, touch Thought about you way too much, much, much, much, much Over, overthinking us, us, us, us, us 'Cause you been so out of touch You could've had my love, but you been so out of Touch, touch, touch, touch, touch Thought about you way too much, much, much, much, much Yeah, you went and messed it up, up, up, up, up 'Cause you been so out of touch You could've had my love, but you been so out of touch  First, you're gonna say you're sorry Promise you won't do it anymore Come up with a different story Yeah, what can I say, say something I ain't heard before I'm too fun to waste my time Too young to waste one night So here comes some good advice If I ever call again, don't press ignore  'Cause sometimes I'm alone Stare out my window And the moon makes you seem close tonight (Woo)  But you been so out of touch, touch, touch, touch, touch Thought about you way too much, much, much, much, much Over, overthinking us, us, us, us, us 'Cause you been so out of touch You could've had my love, but you been so out of Touch, touch, touch, touch, touch (Ah-Ah) Thought about you way too much, much, much, much, much Yeah, you went and messed it up, up, up, up, up 'Cause you been so out of touch You could've had my love, but you been so out of touch"
BTS,Dynamite,2020,hyperpop,"'Cause I, I, I'm in the stars tonight So watch me bring the fire and set the night alight  Shoes on, get up in the morn' Cup of milk, let's rock and roll King Kong, kick the drum Rolling on like a Rolling Stone Sing-song when I'm walkin' home Jump up to the top, LeBron Ding-dong, call me on my phone Ice tea and a game of ping pong  This is gettin' heavy, can you hear the bass boom? I'm ready (Woo-hoo) Life is sweet as honey, yeah, this beat cha-ching like money, huh Disco overload, I'm into that, I'm good to go I'm diamond, you know I glow up Hey, so let's go  'Cause I, I, I'm in the stars tonight So watch me bring the fire and set the night alight (Hey) Shinin' through the city with a little funk and soul So I'ma light it up like dynamite, woah-oh-oh  Bring a friend, join the crowd, whoever wanna come along Word up, talk the talk, just move like we off the wall Day or night, the sky's alight, so we dance to the break of dawn (Hey) Ladies and gentlemen, I got the medicine, so you should keep ya eyes on the ball (Huh)  This is gettin' heavy, can you hear the bass boom? I'm ready (Woo-hoo) Life is sweet as honey, yeah, this beat cha-ching like money, huh Disco overload, I'm into that, I'm good to go I'm diamond, you know I glow up Let's go  'Cause I, I, I'm in the stars tonight So watch me bring the fire and set the night alight (Hey) Shinin' through the city with a little funk and soul So I'ma light it up like dynamite, woah-oh-oh  Dyn-na-na-na, na-na-na-na-na, na-na-na, life is dynamite Dyn-na-na-na, na-na-na-na-na, na-na-na, life is dynamite Shinin' through the city with a little funk and soul So I'ma light it up like dynamite, woah-oh-oh  Dyn-na-na-na, na-na, na-na, ayy Dyn-na-na-na, na-na, na-na, ayy Dyn-na-na-na, na-na, na-na, ayy Light it up like dynamite Dyn-na-na-na, na-na, na-na, ayy Dyn-na-na-na, na-na, na-na, ayy Dyn-na-na-na, na-na, na-na, ayy Light it up like dynamite  'Cause I, I, I'm in the stars tonight So watch me bring the fire and set the night alight Shinin' through the city with a little funk and soul So I'ma light it up like dynamite (This is ah) 'Cause I, I, I'm in the stars tonight So watch me bring the fire and set the night alight (Alight, oh) Shinin' through the city with a little funk and soul So I'ma light (Light) it (It) up (Up) like (Like) dynamite (Dynamite), woah-oh-oh  Dyn-na-na-na, na-na-na-na-na, na-na-na, life is dynamite (Life is dynamite) Dyn-na-na-na, na-na-na-na-na, na-na-na, life is dynamite (Oh) Shinin' through the city with a little funk and soul So I'ma light it up like dynamite, woah-oh-oh"
wave to earth,love.,2023,hyperpop,"            Ooh,     Ah-oh,     Ah-oh (Ah-oh)                      , oh-oh-oh-oh (Ah-oh)     , oh-oh-oh, oh-oh     , oh-oh                  "
